epoch,train_acc,val_acc,train_loss,val_loss,lr
1,0.5353,0.8455,1.7958,1.0139,1.00e-03
2,0.8805,0.9153,0.9927,0.8372,1.00e-03
3,0.9182,0.9333,0.8756,0.7718,1.00e-03
4,0.94,0.9387,0.8118,0.7453,1.00e-03
5,0.9521,0.9402,0.7756,0.7383,1.00e-03
6,0.9598,0.9414,0.7563,0.7285,1.00e-03
7,0.9692,0.9398,0.7266,0.7231,1.00e-03
8,0.9712,0.9513,0.715,0.7086,1.00e-03
9,0.9804,0.9513,0.6979,0.7166,1.00e-03
10,0.9814,0.9548,0.6894,0.7118,5.00e-04
11,0.9884,0.9536,0.6708,0.7077,5.00e-04
12,0.9885,0.949,0.669,0.7172,5.00e-04
13,0.9896,0.9521,0.6644,0.7097,2.50e-04
14,0.9916,0.9521,0.6578,0.7086,2.50e-04
